Flat profile:

Each sample counts as 0.02 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
                0.00    0.00       8/8           VertexIndex_Del [211]
                0.00    0.00       2/37          strcmp [200]
                0.00    0.00       2/37          BusyWin_Del [199]
-----------------------------------------------
               20.58 9763.79   93349/93349       maptopoobject [6]
[7]     77.9   20.58 9763.79   93349         FractFace_Render [7]
             1151.80 8598.44   88365/88365       FractRecurse [8]
                2.76    0.64    4984/4044256     MapTopo [9]
                2.48    0.00   44082/44082       VertexIndexFaceTwo_EdgeSet [68]
                2.20    0.00   44283/44283       VertexIndexFaceOne_EdgeSet [69]
                0.39    1.34   14952/12132768     getdblscrncoords [11]
                0.48    0.80  113285/43958352     drand48 [22]
                0.07    0.70    4984/4044256     FacePt_Switch [19]
                0.62    0.00   93349/7935766     srand48 [49]
                0.25    0.29    4984/4044256     FractPoint_Sort [24]
                0.11    0.05    4984/4044256     SurfaceNormal [38]
                0.15    0.00    9968/26715013     findposvector [25]
                0.11    0.00    4984/4044256     VectorAngle [43]
                0.09    0.00    4984/4044256     ACos_Table [46]
                0.03    0.00    4984/4044256     ZeroCoords [53]
-----------------------------------------------
                             1228604             FractRecurse [8]
             1151.80 8598.44   88365/88365       FractFace_Render [7]
[8]     77.6 1151.80 8598.44   88365+1228604 FractRecurse [8]
             2236.94  518.76 4039272/4044256     MapTopo [9]
             1190.14  252.06 7333229/7333229     WaveAmp_Compute [10]
              314.55 1088.24 12117816/12132768     getdblscrncoords [11]
              902.32  351.21 5267876/5267876     FractPoly_Divide [12]
               59.17  564.55 4039272/4044256     FacePt_Switch [19]
              203.25  237.46 4039272/4044256     FractPoint_Sort [24]
               67.92  113.71 16157088/43958352     drand48 [22]
               85.37   42.71 4039272/4044256     SurfaceNormal [38]
              119.66    0.00 8078544/26715013     findposvector [25]
               86.53    0.00 4039272/4044256     VectorAngle [43]
               74.19    0.00 4039272/4044256     ACos_Table [46]
               35.19    0.00 8078544/73535011     swmem [27]
               27.87    0.00 4039272/4044256     ZeroCoords [53]
               26.64    0.00 4039272/7935766     srand48 [49]
                             1228604             FractRecurse [8]
-----------------------------------------------
                2.76    0.64    4984/4044256     FractFace_Render [7]
             2236.94  518.76 4039272/4044256     FractRecurse [8]
[9]     22.0 2239.70  519.40 4044256         MapTopo [9]
              178.42    0.05 2444420/2444420     WaterEco_Set [34]
              142.53    0.00 3997079/4021985     memset [36]
               97.70    9.60  101753/101753      ComputeTextureColor [41]
               68.04   22.42 1599836/1599836     ecoset [42]
                0.64    0.00   52509/179128      ScreenPixelPlot [70]
-----------------------------------------------
             1190.14  252.06 7333229/7333229     FractRecurse [8]
[10]    11.5 1190.14  252.06 7333229         WaveAmp_Compute [10]
              128.37    0.00 65999061/93065122     cos [33]
              123.68    0.00 65999061/111385160     sin [32]
-----------------------------------------------
                0.39    1.34   14952/12132768     FractFace_Render [7]
              314.55 1088.24 12117816/12132768     FractRecurse [8]
[11]    11.2  314.94 1089.58 12132768         getdblscrncoords [11]
              167.95  587.08 12132768/18626499     getscrnpt [14]
              206.26    0.00 12132768/18626500     RotatePoint [28]
              128.29    0.00 12132768/22670757     VectorMagnitude [31]
-----------------------------------------------
              902.32  351.21 5267876/5267876     FractRecurse [8]
[12]    10.0  902.32  351.21 5267876         FractPoly_Divide [12]
              104.79  175.43 24926340/43958352     drand48 [22]
               33.13    0.00 7606284/73535011     swmem [27]
               25.08    0.00 3803142/7935766     srand48 [49]
               12.77    0.00 3803142/4132901     pow [60]
-----------------------------------------------
                0.00 1175.93       1/1           globemap [4]
[13]     9.4    0.00 1175.93       1         InitCloudMap [13]
                5.56 1131.72       1/1           MapCloudObject [15]
                0.62   37.97       1/1           Cloud_Generate [50]
                0.02    0.02       1/1           Cloud_Load [93]
                0.00    0.02       1/1           BuildCloudKeyTable [106]
                0.00    0.00       4/20          fopen [110]
                0.00    0.00      20/20          CloudLayer_New [140]
                0.00    0.00       5/22          strmfp [127]
                0.00    0.00       4/260         sprintf [91]
                0.00    0.00       8/374         get_Memory [111]
                0.00    0.00       7/16          Wave_New [142]
